# VOCABULARY DATA FILE
# Format: ID|GERMAN|ARABIC|GERMAN_EXAMPLE|ARABIC_EXAMPLE|CATEGORY
# Categories: car-interior, driving-actions, traffic-instructions, parking, emergency, examiner-phrases

# Car Interior - داخل السيارة
vocab-024|der Kilometerzähler|عداد المسافة|Der Kilometerzähler zeigt 50.000 km.|عداد المسافة يظهر 50,000 كم.|car-interior

# Driving Actions - أفعال القيادة
vocab-025|anfahren|الانطلاق|Bitte fahren Sie an.|يرجى الانطلاق.|driving-actions
vocab-026|bremsen|الكبح|Bremsen Sie rechtzeitig.|أكبح في الوقت المناسب.|driving-actions
vocab-027|abbiegen|الانعطاف|Biegen Sie hier rechts ab.|انعطف يميناً هنا.|driving-actions
vocab-028|überholen|التجاوز|Überholen ist hier verboten.|التجاوز ممنوع هنا.|driving-actions
vocab-029|einspuren|التخطي في المسار|Spuren Sie sich rechts ein.|الزم المسار الأيمن.|driving-actions
vocab-030|wenden|الاستدارة|Bitte wenden Sie hier.|يرجى الاستدارة هنا.|driving-actions
vocab-031|rückwärts fahren|القيادة للخلف|Fahren Sie langsam rückwärts.|قُد ببطء للخلف.|driving-actions
vocab-032|einparken|الركن|Parken Sie hier ein.|ركّن السيارة هنا.|driving-actions
vocab-033|ausparken|الخروج من موقف|Fahren Sie vorsichtig aus.|تحرك بحذر من موقف السيارة.|driving-actions
vocab-034|beschleunigen|التسريع|Beschleunigen Sie auf 50 km/h.|سرّع حتى 50 كم/ساعة.|driving-actions
vocab-035|verlangsamen|التباطؤ|Verlangsamen Sie die Geschwindigkeit.|خفض السرعة.|driving-actions
vocab-036|anhalten|التوقف|Bitte halten Sie hier an.|يرجى التوقف هنا.|driving-actions
vocab-037|losfahren|الانطلاق من مكان التوقف|Wann darf ich losfahren?|متى يمكنني الانطلاق؟|driving-actions
vocab-038|durchfahren|المرور مستقيماً|Fahren Sie geradeaus durch.|استمر مستقيماً.|driving-actions
vocab-039|abbiegen lassen|السماح بالانعطاف|Lassen Sie den Fußgänger zuerst.|دع الراجل يعبر أولاً.|driving-actions
vocab-040|auffahren|الاقتراب بسرعة|Fahren Sie nicht so nah auf.|لا تقترب بهذه السرعة.|driving-actions
vocab-041|spurwechseln|تغيير المسار|Bitte wechseln Sie die Spur.|يرجى تغيير المسار.|driving-actions
vocab-042|rangieren|المناورة|Rangieren Sie vorsichtig.|قم بالمناورة بحذر.|driving-actions
vocab-043|schalten|تغيير التروس|Schalten Sie rechtzeitig.|غيّر التروس في الوقت المناسب.|driving-actions
vocab-044|kuppeln|استخدام القابض|Kuppeln Sie sanft.|استخدم القابض بلطف.|driving-actions

# Traffic Instructions - تعليمات المرور
vocab-045|Vorfahrt gewähren|أعطِ الأولوية|Sie müssen hier Vorfahrt gewähren.|يجب عليك إعطاء الأولوية هنا.|traffic-instructions
vocab-046|Vorfahrt beachten|مراعاة حق الأولوية|Beachten Sie die Vorfahrt von rechts.|راعِ حق الأولوية من اليمين.|traffic-instructions
vocab-047|die Ampel|إشارة المرور|Halten Sie an der roten Ampel.|قف عند الإشارة الحمراء.|traffic-instructions
vocab-048|das Stoppschild|علامة قف|Halten Sie am Stoppschild an.|قف عند علامة قف.|traffic-instructions
vocab-049|die Kreuzung|تقاطع الطرق|Fahren Sie vorsichtig an der Kreuzung.|قد بحذر عند التقاطع.|traffic-instructions
vocab-050|der Kreisverkehr|دوّار|Fahren Sie in den Kreisverkehr ein.|ادخل إلى الدوّار.|traffic-instructions
vocab-051|die Einbahnstraße|شارع ذو اتجاه واحد|Das ist eine Einbahnstraße.|هذا شارع ذو اتجاه واحد.|traffic-instructions
vocab-052|die Vorfahrtstraße|شارع ذو أولوية|Das ist eine Vorfahrtstraße.|هذا شارع ذو أولوية.|traffic-instructions
vocab-053|die Geschwindigkeit|السرعة|Halten Sie die Geschwindigkeitsbegrenzung ein.|التزم بحد السرعة.|traffic-instructions
vocab-054|die Geschwindigkeitsbegrenzung|حد السرعة|Die Geschwindigkeitsbegrenzung beträgt 50 km/h.|حد السرعة هو 50 كم/ساعة.|traffic-instructions
vocab-055|der Zebrastreifen|ممر المشاة|Halten Sie am Zebrastreifen an.|قف عند ممر المشاة.|traffic-instructions
vocab-056|der Fußgänger|المشاة|Lassen Sie den Fußgänger passieren.|دع المشاة يعبرون.|traffic-instructions
vocab-057|die Spur|المسار|Bleiben Sie auf Ihrer Spur.|الزم مسارك.|traffic-instructions
vocab-058|der Fahrstreifen|حارة السير|Wechseln Sie den Fahrstreifen.|غيّر حارة السير.|traffic-instructions
vocab-059|die Fahrbahn|مسار السيارة|Bleiben Sie auf der rechten Fahrbahn.|الزم المسار الأيمن.|traffic-instructions
vocab-060|der Bürgersteig|رصيف المشاة|Parken Sie nicht auf dem Bürgersteig.|لا تركن على الرصيف.|traffic-instructions
vocab-061|die Autobahn|الطريق السريع|Auf der Autobahn gibt es kein Tempolimit.|لا يوجد حد للسرعة على الطريق السريع في ألمانيا.|traffic-instructions
vocab-062|die Bundesstraße|الطريق الاتحادي|Auf der Bundesstraße gilt 100 km/h.|السرعة المسموحة على الطريق الاتحادي 100 كم/ساعة.|traffic-instructions
vocab-063|die Nebenstraße|الشارع الفرعي|Fahren Sie langsam in der Nebenstraße.|قد ببطء في الشارع الفرعي.|traffic-instructions
vocab-064|der Gegenverkehr|السير المعاكس|Achten Sie auf den Gegenverkehr.|انتبه للسير المعاكس.|traffic-instructions

# Parking - الركن
vocab-065|das Parkverbot|ممنوع الوقوف|Hier ist ein Parkverbot.|الوقوف ممنوع هنا.|parking
vocab-066|das Halteverbot|ممنوع التوقف|Hier ist ein absolutes Halteverbot.|التوقف ممنوع تماماً هنا.|parking
vocab-067|der Parkplatz|موقف السيارات|Suchen Sie einen Parkplatz.|ابحث عن موقف للسيارات.|parking
vocab-068|die Parkbucht|خليج الانتظار|Parken Sie in der Parkbucht.|ركّن في خليج الانتظار.|parking
vocab-069|das Parkhaus|موقف طابقي|Das Parkhaus ist auf der rechten Seite.|الموقف الطابقي على اليمين.|parking
vocab-070|die Parklücke|فجوة الانتظار|Die Parklücke ist zu klein.|الفجوة صغيرة جداً للركن.|parking
vocab-071|der Parkschein|تذكرة الانتظار|Lösen Sie einen Parkschein.|احصل على تذكرة انتظار.|parking
vocab-072|die Parkuhr|ساعة الانتظار|Stellen Sie die Parkuhr ein.|اضبط ساعة الانتظار.|parking
vocab-073|das Einparken|الركن|Das Einparken ist hier erlaubt.|الركن مسموح هنا.|parking
vocab-074|rückwärts einparken|الركن للخلف|Parken Sie rückwärts ein.|ارجع للركن.|parking
vocab-075|seitlich einparken|الركن الجانبي|Parken Sie seitlich ein.|ارجع للركن الجانبي.|parking
vocab-076|die Parkbremse|فرامل الانتظار|Ziehen Sie die Parkbremse an.|اشدد فرامل الانتظار.|parking
vocab-077|die Haltelinie|خط التوقف|Halten Sie hinter der Haltelinie.|قف خلف خط التوقف.|parking
vocab-078|der Sicherheitsabstand|مسافة الأمان|Halten Sie den Sicherheitsabstand.|حافظ على مسافة الأمان.|parking

# Emergency Situations - حالات الطوارئ
vocab-079|der Unfall|حادثة سير|Es ist ein Unfall passiert.|حدثت حادثة سير.|emergency
vocab-080|die Panne|عطل في السيارة|Ich habe eine Panne.|سيارتي تعطلت.|emergency
vocab-081|der Pannendienst|خدمة الطوارئ للسيارات|Rufen Sie den Pannendienst.|اتصل بخدمة الطوارئ.|emergency
vocab-082|der Notruf|رقم الطوارئ|Der Notruf ist 110 oder 112.|رقم الطوارئ هو 110 أو 112.|emergency
vocab-083|die Feuerwehr|الإطفاء|Rufen Sie die Feuerwehr.|اتصل بسيارة الإطفاء.|emergency
vocab-084|der Krankenwagen|سيارة الإسعاف|Ein Krankenwagen kommt.|سيارة إسعاف قادمة.|emergency
vocab-085|erste Hilfe|الإسعافات الأولية|Leisten Sie erste Hilfe.|قدّم الإسعافات الأولية.|emergency
vocab-086|das Warndreieck|مثلث التحذير|Stellen Sie das Warndreieck auf.|ضع مثلث التحذير.|emergency
vocab-087|die Warnweste|سترة التحذير|Ziehen Sie die Warnweste an.|ارتدِ سترة التحذير.|emergency
vocab-088|der Feuerlöscher|طفاية الحريق|Ein Feuerlöscher ist im Kofferraum.|طفاية الحريق في صندوق السيارة.|emergency
vocab-089|der Reifenwechsel|تغيير الإطار|Ich muss einen Reifen wechseln.|يجب أن أغيّر الإطار.|emergency
vocab-090|der Verbandskasten|صندوق الإسعافات|Der Verbandskasten ist Pflicht.|صندوق الإسعافات إلزامي.|emergency
vocab-091|abschleppen|السحب|Das Auto muss abgeschleppt werden.|يجب سحب السيارة.|emergency
vocab-092|liegen bleiben|التوقف الاضطراري|Das Auto ist liegen geblieben.|توقفت السيارة اضطراراً.|emergency

# Examiner Phrases - عبارات الممتحن
vocab-093|Bitte fahren Sie los.|يرجى الانطلاق.|Bitte fahren Sie los, wenn Sie bereit sind.|يرجى الانطلاق عندما تكون مستعداً.|examiner-phrases
vocab-094|Halten Sie hier an.|أوقف السيارة هنا.|Halten Sie bitte hier an der roten Ampel an.|أوقف السيارة عند الإشارة الحمراء.|examiner-phrases
vocab-095|Biegen Sie links ab.|انعطف يساراً.|An der nächsten Kreuzung, biegen Sie links ab.|عند التقاطع القادم، انعطف يساراً.|examiner-phrases
vocab-096|Biegen Sie rechts ab.|انعطف يميناً.|Biegen Sie an der Ampel rechts ab.|انعطف يميناً عند الإشارة.|examiner-phrases
vocab-097|Fahren Sie geradeaus.|سِر مستقيماً.|Fahren Sie bis zur Kreuzung geradeaus.|سر مستقيماً حتى التقاطع.|examiner-phrases
vocab-098|Fahren Sie vorsichtig.|قُد بحذر.|Fahren Sie vorsichtig, es ist glatt.|قُد بحذر، الطريق زلق.|examiner-phrases
vocab-099|Beobachten Sie den Verkehr.|راقب حركة المرور.|Beobachten Sie immer den Verkehr.|راقب حركة المرور دائماً.|examiner-phrases
vocab-100|Schauen Sie in den Spiegel.|انظر في المرآة.|Schauen Sie in den Rückspiegel.|انظر في المرآة الخلفية.|examiner-phrases
vocab-101|Geben Sie Zeichen.|أعطِ إشارة.|Geben Sie rechtzeitig Zeichen.|أعطِ الإشارة في الوقت المناسب.|examiner-phrases
vocab-102|Parken Sie hier ein.|ارجع للركن هنا.|Bitte parken Sie hier rechts ein.|يرجى الركن على اليمين هنا.|examiner-phrases
vocab-103|Wenden Sie das Fahrzeug.|قم بالاستدارة.|Wenden Sie bitte das Fahrzeug.|يرجى الاستدارة.|examiner-phrases
vocab-104|Verlassen Sie die Autobahn.|اخرج من الطريق السريع.|Verlassen Sie die Autobahn an der nächsten Ausfahrt.|اخرج من الطريق السريع عند المخرج القادم.|examiner-phrases
vocab-105|Fahren Sie rechts ran.|قُد إلى اليمين.|Fahren Sie bitte rechts ran und halten Sie an.|يرجى القيادة إلى اليمين والتوقف.|examiner-phrases
vocab-106|Zeigen Sie mir das Fahrzeugdokument.|أرني وثيقة السيارة.|Zeigen Sie mir bitte das Fahrzeugdokument.|يرجى إراءتي وثيقة السيارة.|examiner-phrases
vocab-107|Sind Sie bereit?|هل أنت مستعد؟|Sind Sie bereit für die Prüfung?|هل أنت مستعد للامتحان؟|examiner-phrases
vocab-108|Passen Sie auf!|انتبه!|Passen Sie auf den Fußgänger auf!|انتبه للمشاة!|examiner-phrases
vocab-109|Gut gemacht!|أحسنت!|Das war gut gemacht.|لقد أجدت.|examiner-phrases
vocab-110|Zu schnell!|سريع جداً!|Sie fahren zu schnell, verlangsamen Sie.|أنت تقود بسرعة كبيرة، خفّف السرعة.|examiner-phrases
vocab-111|Zu langsam!|بطيء جداً!|Sie fahren zu langsam für die Straße.|أنت تقود ببطء شديد.|examiner-phrases
vocab-112|Stopp!|قف!|Stopp! Rote Ampel!|قف! إشارة حمراء!|examiner-phrases
vocab-113|Rückwärts bitte.|للخلف من فضلك.|Fahren Sie bitte rückwärts.|يرجى القيادة للخلف.|examiner-phrases
vocab-114|Fahren Sie auf die Autobahn.|ادخل إلى الطريق السريع.|Fahren Sie auf die Autobahn auf.|ادخل إلى الطريق السريع.|examiner-phrases
vocab-115|Verlassen Sie jetzt die Spur.|غادر المسار الآن.|Verlassen Sie jetzt die linke Spur.|غادر المسار الأيسر الآن.|examiner-phrases
