# TRAFFIC SIGNS DATA FILE
# Format: ID|GERMAN_NAME|ARABIC_NAME|DESCRIPTION|ARABIC_DESCRIPTION|RULES|ARABIC_RULES|EXAMPLES|ARABIC_EXAMPLES|CATEGORY
# Note: Multiple rules/examples are separated by ;

sign-011|Gefährliches Gefälle|منحدر خطر|Warnung vor starkem Gefälle|تحذير من انحدار شديد|Gang einlegen;Nicht im Leerlauf fahren;Bremsen nicht überlasten|استخدم ترس مناسب;لا تقد بالطوارئ;لا تُثقل الفرامل|In Bergregionen;Auf Passtraßen;Bei langen Abfahrten|في المناطق الجبلية;على طرق الممرات الجبلية;عند الانحدارات الطويلة|warning
sign-012|Fahrrad verboten|الدراجات ممنوعة|Rundes Schild - Fahrräder dürfen nicht fahren|علامة دائرية - الدراجات ممنوعة من القيادة|Fahrräder nicht auf dieser Straße|الدراجات ممنوعة على هذا الطريق|Auf Schnellstraßen;In Fußgängerzonen;Auf bestimmten Straßen|على الطرق السريعة;في مناطق المشاة;على طرق معينة|prohibition
sign-013|Einbahnstraße|شارع ذو اتجاه واحد|Pfeil zeigt die erlaubte Fahrtrichtung|السهم يشير إلى اتجاه السير المسموح|Nur in Pfeilrichtung fahren;Gegenfahrt verboten;Fahrräder oft ausgenommen|سِر في اتجاه السهم فقط;السير المعاكس ممنوع;الدراجات في الغالب مستثناة|Im Stadtzentrum;In Wohngebieten;Bei Verkehrsregelungen|في مركز المدينة;في الأحياء السكنية;عند تنظيم المرور|information
sign-014|Parkverbot|ممنوع الوقوف|Rundes Schild mit P und Strich - Parken verboten|علامة دائرية بـ P وخط - الوقوف ممنوع|Nicht parken;Halten ist erlaubt bis 3 Minuten;Gilt für beide Seiten|لا تقف;التوقف مسموح حتى 3 دقائق;يسري على كلا الجانبين|Vor Einfahrten;Neben Hydranten;Vor Kreuzungen|أمام المداخل;بجانب الحنفيات;أمام التقاطعات|regulatory
sign-015|Halteverbot|ممنوع التوقف|Rundes rotes Schild - weder halten noch parken|علامة دائرية حمراء - لا توقف ولا وقوف|Weder halten noch parken;Absolutes Verbot;Gilt für alle Fahrzeuge|لا توقف ولا تقف;حظر مطلق;يسري على جميع المركبات|Vor Feuerwehrzufahrten;An Busspuren;In Halteverbotszonen|أمام طرق الإطفاء;في مسارات الحافلات;في مناطق الحظر المطلق|regulatory
sign-016|Radweg|مسار دراجات|Hinweis auf einen Fahrradweg|تنبيه لوجود مسار دراجات|Fahrräder müssen diesen Weg benutzen;Fußgänger nicht erlaubt;Autos nicht erlaubt|يجب على الدراجات استخدام هذا المسار;المشاة غير مسموح;السيارات غير مسموحة|In Parks;An Hauptstraßen;In Städten|في الحدائق;على الطرق الرئيسية;في المدن|information
sign-017|Spielstraße|شارع مناطق اللعب|Verkehrsberuhigter Bereich - Spielstraße|منطقة مهدأة - شارع لعب|Schrittgeschwindigkeit;Kinder haben Vorrang;Parken nur auf markierten Flächen|سرعة خطوة;الأطفال لهم الأولوية;الركن فقط في المناطق المحددة|In Wohngebieten;Neben Schulen;In Spielstraßen|في الأحياء السكنية;بجانب المدارس;في شوارع اللعب|information
sign-018|Tiefgarage|موقف تحت الأرض|Hinweis auf eine Tiefgarage|تنبيه لوجود موقف تحت الأرض|Höhenbegrenzung beachten;Einbahnregelungen beachten;Bezahlung erforderlich|انتبه لقيود الارتفاع;انتبه لتنظيمات الاتجاه الواحد;الدفع مطلوب|Im Stadtzentrum;Bei Einkaufszentren;An Flughäfen|في مركز المدينة;عند مراكز التسوق;في المطارات|information
sign-019|Glatteis|جليد|Warnschild - Glatteis möglich|لافتة تحذير - جليد محتمل|Geschwindigkeit stark reduzieren;Winterreifen benutzen;Großen Sicherheitsabstand halten|خفّض السرعة بشكل كبير;استخدم إطارات الشتاء;حافظ على مسافة أمان كبيرة|Im Winter;Bei Frost;In Tunneln|في الشتاء;عند الصقيع;في الأنفاق|warning
sign-020|Nebel|ضباب|Warnschild - Nebel möglich|لافتة تحذير - ضباب محتمل|Geschwindigkeit reduzieren;Nebelscheinwerfer einschalten;Abstand halten|خفّض السرعة;شغّل المصابيح الضبابية;حافظ على المسافة|In Tälern;Bei Flüssen;Im Herbst|في الأودية;عند الأنهار;في الخريف|warning
sign-021|Wildwechsel|عبور الحيوانات البرية|Warnschild - Wildtiere können die Straße überqueren|لافتة تحذير - الحيوانات البرية قد تعبر الطريق|Geschwindigkeit reduzieren;Besonders in der Dämmerung aufpassen;Bei Sichtung sofort bremsen|خفّض السرعة;انتبه خاصة في وقت الغسق;اكبح فوراً عند رؤيتها|Am Waldrand;Auf Landstraßen;In ländlichen Gebieten|عند حافة الغابة;على الطرق الريفية;في المناطق الريفية|warning
sign-022|Autobahnschild|لوحة الطريق السريع|Blaues Schild mit weißem Autobahn-Symbol|لوحة زرقاء برمز الطريق السريع الأبيض|Mindestgeschwindigkeit 60 km/h;Kein Fahrrad;Kein Fußgänger|السرعة الدنيا 60 كم/ساعة;لا دراجات;لا مشاة|Am Beginn der Autobahn;An Auffahrten;An Ausfahrten|عند بداية الطريق السريع;عند المداخل;عند المخارج|information
sign-023|Ausfahrt Autobahn|مخرج الطريق السريع|Hinweis auf die Ausfahrt der Autobahn|تنبيه لمخرج الطريق السريع|Rechtzeitig einspuren;Geschwindigkeit reduzieren;Blinker setzen|الزم المسار في الوقت المناسب;خفّض السرعة;أعطِ إشارة الانعطاف|An der Autobahn;Bei langen Fahrten;Bei Ortschaftsausfahrten|على الطريق السريع;في الرحلات الطويلة;عند مخارج التجمعات السكنية|information
sign-024|Tunnel|نفق|Hinweis auf einen Tunnel|تنبيه لوجود نفق|Licht einschalten;Abstand vergrößern;Nicht überholen|شغّل الأضواء;وسّع المسافة;لا تتجاوز|In Berggebieten;In Städten;Bei langen Strecken|في المناطق الجبلية;في المدن;في المسافات الطويلة|information
sign-025|Seitenstreifen nicht befahrbar|الكتف غير صالح للقيادة|Hinweis - Seitenstreifen ist nicht befahrbar|تنبيه - الكتف غير مناسب للقيادة|Nicht auf dem Seitenstreifen fahren;Nur für Notfälle|لا تقد على الكتف;للطوارئ فقط|Auf Autobahnen;Auf Bundesstraßen|على الطرق السريعة;على الطرق الاتحادية|information
sign-026|Richtungspfeil|سهم الاتجاه|Zeigt die Pflichtfahrtrichtung|يشير إلى اتجاه القيادة الإلزامي|In angegebene Richtung fahren;Abbiegen verboten;Geradeaus fahren|سِر في الاتجاه المشار إليه;الانعطاف ممنوع;سِر مستقيماً|An Kreuzungen;In Einbahnstraßen;Bei Pflichtfahrtrichtungen|عند التقاطعات;في الشوارع ذات الاتجاه الواحد;عند اتجاهات القيادة الإلزامية|information
sign-027|Breite beschränkt|تحديد العرض|Fahrzeuge über bestimmte Breite verboten|المركبات التي تتجاوز عرضاً معيناً ممنوعة|Fahrzeugbreite prüfen;Ggf. andere Route nehmen|تحقق من عرض المركبة;خذ طريقاً آخر إذا لزم الأمر|Unter Brücken;In engen Straßen;In Tunneln|تحت الجسور;في الشوارع الضيقة;في الأنفاق|regulatory
sign-028|Höhe beschränkt|تحديد الارتفاع|Fahrzeuge über bestimmte Höhe verboten|المركبات التي تتجاوز ارتفاعاً معيناً ممنوعة|Fahrzeughöhe prüfen;Bei Überschreitung umkehren|تحقق من ارتفاع المركبة;ارجع إذا تجاوزت الارتفاع|Unter Brücken;In Parkhäusern;In Tunneln|تحت الجسور;في المواقف الطابقية;في الأنفاق|regulatory
sign-029|Lkw verboten|الشاحنات ممنوعة|Rundes Schild - Lkw und Schwerfahrzeuge verboten|علامة دائرية - الشاحنات والمركبات الثقيلة ممنوعة|Gilt für Fahrzeuge über 3,5 Tonnen;Ausnahmen für Lieferverkehr möglich;Umleitung beachten|يسري على المركبات التي تزيد عن 3.5 طن;استثناءات لحركة التسليم ممكنة;انتبه للتحويل|In Wohngebieten;Auf Nebenstraßen;Vor Brücken|في الأحياء السكنية;على الطرق الفرعية;أمام الجسور|prohibition
sign-030|Tempolimit 30|حد سرعة 30|Rundes Schild - Höchstgeschwindigkeit 30 km/h|علامة دائرية - السرعة القصوى 30 كم/ساعة|Nicht schneller als 30 km/h;In 30er-Zonen üblich;Kinder besonders schützen|لا تتجاوز 30 كم/ساعة;شائع في مناطق 30;حماية الأطفال بشكل خاص|Vor Schulen;In Wohngebieten;In 30-km/h-Zonen|أمام المدارس;في الأحياء السكنية;في مناطق 30 كم/ساعة|regulatory
sign-031|Zone 30|منطقة 30|Beginn einer 30 km/h-Zone|بداية منطقة 30 كم/ساعة|Gilt für alle Straßen in der Zone;Bis zum Aufhebungsschild;Rechts vor Links gilt|يسري على جميع شوارع المنطقة;حتى علامة الإلغاء;اليمين قبل اليسار يسري|In Wohngebieten;In Stadtteilen;Rund um Schulen|في الأحياء السكنية;في أحياء المدينة;حول المدارس|regulatory
sign-032|Umleitung|تحويل|Orangefarbenes U-förmiges Schild - Umleitung|علامة برتقالية على شكل U - تحويل|Der Umleitung folgen;Auf Beschilderung achten;Extra Zeit einplanen|اتبع التحويل;انتبه للعلامات;خطط لوقت إضافي|Bei Baustellen;Bei Unfällen;Bei Straßensperrungen|عند مواقع البناء;عند الحوادث;عند إغلاق الطرق|information
sign-033|Schule|مدرسة|Warnschild - Kinder überqueren die Straße|لافتة تحذير - الأطفال يعبرون الشارع|Geschwindigkeit reduzieren;Auf Kinder achten;Besonders zu Schulzeiten aufpassen|خفّض السرعة;انتبه للأطفال;انتبه خاصة في أوقات المدرسة|Vor Schulen;An Schulwegen;In Schulzonen|أمام المدارس;على طرق المدارس;في مناطق المدارس|warning
sign-034|Bahnübergang|معبر السكة الحديدية|Warnung vor einem Bahnübergang|تحذير من معبر السكة الحديدية|Geschwindigkeit reduzieren;Bei rotem Blinklicht halten;Schranken beachten|خفّض السرعة;قف عند الضوء الأحمر الوامض;انتبه للبوابات|Vor Bahnübergängen;An Gleisanlagen;Bei Straßenbahnen|أمام معابر السكة الحديدية;عند مسارات القطار;عند قطارات الترام|warning
sign-035|Gefährliche Kurven|منعطفات خطيرة|Warnung vor mehreren aufeinanderfolgenden Kurven|تحذير من عدة منعطفات متتالية|Stark abbremsen;Kein Überholen;Auf Gegenverkehr achten|اكبح بشدة;لا تتجاوز;انتبه للسير المعاكس|In Berggebieten;Auf Passstraßen;Auf Landstraßen|في المناطق الجبلية;على طرق الممرات الجبلية;على الطرق الريفية|warning
sign-036|Grüne Welle|الموجة الخضراء|Koordinierte Ampelschaltung - bei richtiger Geschwindigkeit Grün|إشارات ضوئية منسقة - أضواء خضراء عند السرعة الصحيحة|Empfohlene Geschwindigkeit einhalten;Kontinuierlich fahren;Nicht zu schnell|التزم بالسرعة الموصى بها;سِر باستمرارية;لا تسرع كثيراً|Im Stadtzentrum;Auf Hauptstraßen;Bei Pendlerstrecken|في مركز المدينة;على الطرق الرئيسية;على مسارات التنقل|information
sign-037|Rechts vor Links|اليمين قبل اليسار|Ohne Vorfahrtregelung gilt Rechts vor Links|بدون تنظيم أولوية، اليمين قبل اليسار|Aus rechts kommenden Fahrzeugen Vorfahrt gewähren;An ungeregelten Kreuzungen beachten;Gilt in Wohngebieten|أعطِ الأولوية للمركبات القادمة من اليمين;انتبه عند التقاطعات غير المنظمة;يسري في الأحياء السكنية|An Kreuzungen ohne Schilder;In Wohngebieten;Auf Nebenstraßen|عند التقاطعات بدون علامات;في الأحياء السكنية;على الطرق الفرعية|regulatory
sign-038|Parkplatz|موقف سيارات|Blaues P-Schild - Parken erlaubt|لوحة P زرقاء - الوقوف مسموح|Parken erlaubt;Ggf. Parkdauer begrenzt;Auf Markierungen achten|الوقوف مسموح;قد تكون مدة الوقوف محدودة;انتبه للعلامات الأرضية|In Städten;An Einkaufszentren;An Sehenswürdigkeiten|في المدن;عند مراكز التسوق;عند المعالم السياحية|information
sign-039|Tankstelle|محطة وقود|Hinweis auf eine Tankstelle|تنبيه لوجود محطة وقود|Tanken möglich;Auf Kraftstoffart achten;Preis vergleichen|التزود بالوقود ممكن;انتبه لنوع الوقود;قارن الأسعار|Auf Autobahnen;An Bundesstraßen;In Stadtgebieten|على الطرق السريعة;على الطرق الاتحادية;في المناطق الحضرية|information
sign-040|Erste Hilfe|إسعافات أولية|Hinweis auf eine Erste-Hilfe-Station|تنبيه لوجود محطة إسعافات أولية|Im Notfall aufsuchen;Verbandskasten immer dabei|في الطوارئ قصدها;اصطحب صندوق الإسعافات دائماً|An Autobahnen;Bei Veranstaltungen;In Berggebieten|على الطرق السريعة;في الفعاليات;في المناطق الجبلية|information
sign-041|Notausgang|مخرج الطوارئ|Grünes Schild mit Pfeilfigur - Notausgang|لوحة خضراء بشكل مع سهم - مخرج الطوارئ|Im Notfall benutzen;Nicht blockieren;Regelmäßig prüfen|استخدمه في حالات الطوارئ;لا تحجبه;افحصه بانتظام|In Tunneln;In Parkhäusern;In Gebäuden|في الأنفاق;في المواقف الطابقية;في المباني|information
sign-042|Reißverschlussverfahren|الدمج بالتناوب|Einfädelungsverfahren - abwechselndes Einfahren|إجراء الاندماج - الدخول بالتناوب|Abwechselnd einfahren lassen;Fair Reißverschluss fahren;Nicht blockieren|السماح بالدخول بالتناوب;اتبع إجراء الاندماج بعدالة;لا تحجب|Bei Fahrbahnverengungen;An Baustellen;Bei Spurreduzierung|عند تضييق الطريق;في مواقع البناء;عند تقليل المسارات|regulatory
sign-043|Frostschäden|أضرار الصقيع|Warnung vor Straßenschäden durch Frost|تحذير من أضرار الطريق بسبب الصقيع|Langsamer fahren;Auf Schlaglöcher achten;Vorsicht bei plötzlichen Ausweichmanövern|سِر ببطء أكبر;انتبه للحفر;حذار من مناورات التحويل المفاجئة|Im Frühjahr;Nach kalten Wintern;Auf alten Straßen|في الربيع;بعد الشتاء البارد;على الطرق القديمة|warning
sign-044|Fahrradfahrer|راكبو الدراجات|Warnung vor Fahrradfahrern|تحذير من راكبي الدراجات|Genug Abstand halten;Überholen nur wenn sicher;Auf Radwege achten|حافظ على مسافة كافية;تجاوز فقط عند الأمان;انتبه لمسارات الدراجات|In Städten;Auf Fahrradrouten;Beim Parken|في المدن;على مسارات الدراجات;عند الركن|warning
sign-045|Landstraße Ende|نهاية الطريق الريفي|Ende der Landstraße - andere Regeln gelten|نهاية الطريق الريفي - قواعد أخرى تسري|Neue Geschwindigkeitsbegrenzung beachten;Auf neue Verkehrsregeln achten|انتبه لحد السرعة الجديد;انتبه للقواعد الجديدة|Bei Ortseinfahrten;An Stadtgrenzen|عند مداخل التجمعات;عند حدود المدينة|information
sign-046|Autobahn Ende|نهاية الطريق السريع|Ende der Autobahn|نهاية الطريق السريع|Auf andere Geschwindigkeiten einstellen;Vorsicht vor Kreuzungen;Ortsregeln beachten|اضبط نفسك على سرعات أخرى;حذار من التقاطعات;راعِ قواعد التجمع|Am Ende der Autobahn;Bei Ausfahrten|في نهاية الطريق السريع;عند المخارج|information
sign-047|Krankenhaus|مستشفى|Hinweis auf ein Krankenhaus oder Klinik|تنبيه لوجود مستشفى أو عيادة|Im Notfall;Keine unnötige Fahrt dorthin;Zufahrten freihalten|في الطوارئ;لا تتجه إليه دون ضرورة;أبقِ مداخله خالية|In Städten;Auf der Autobahn;An Kliniken|في المدن;على الطريق السريع;عند العيادات|information
sign-048|Gefährliche Kreuzung|تقاطع خطير|Warnung vor einer unübersichtlichen Kreuzung|تحذير من تقاطع غير واضح|Geschwindigkeit reduzieren;Besonders vorsichtig sein;Auf Vorfahrt achten|خفّض السرعة;كن حذراً بشكل خاص;انتبه للأولوية|Auf Landstraßen;Bei Sichtbehinderungen;In ländlichen Gebieten|على الطرق الريفية;عند عوائق الرؤية;في المناطق الريفية|warning
sign-049|Doppelkurve|منعطف مضاعف|Warnung vor einer doppelten Kurve|تحذير من منعطف مضاعف|Stark bremsen;Kein Überholen;Fahrbahn nicht verlassen|اكبح بشدة;لا تتجاوز;لا تغادر الطريق|In Berggebieten;Auf Passstraßen|في المناطق الجبلية;على طرق الممرات الجبلية|warning
sign-050|Ende aller Verbote|نهاية جميع الحظر|Rundes weißes Schild - alle Verbote aufgehoben|علامة دائرية بيضاء - جميع الحظر ملغى|Vorherige Verbote enden;Allgemeine Regeln gelten wieder;Auf neue Schilder achten|الحظر السابق ينتهي;القواعد العامة تسري مجدداً;انتبه للعلامات الجديدة|Am Ende von Verbotszonen;Nach Baustellen|في نهاية مناطق الحظر;بعد مواقع البناء|regulatory
